,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
14,2026-06-24,SZ002415,SH603259,SH601916,SH601607,SH600919,SH601939,SH601186,SH600030,SH601985,SZ003816,SZ002142,SH601398,SH600018,SH601988,SH601377,SZ002422,SH601211,SH601328,SH600015,SH601818,SH603195,SH600016,SH601169,SH600900,SH601668,SH600377,SH601995,SZ000333,SH601901,SH601006,SZ002236,SH601688,SZ000651,SH600050,SH601658,SZ000538,SH601229,SZ000001,SZ001965,SZ300832,SH601456,SH600036,SH601077,SH600887,SH600926,SH600019,SH601825,SH601288,SH600795,SH601998,SH601318,SH600061,SZ000166,SH601336,SZ300059,SH601298,SH601838,SH601816,SH600958,SH601766,SH601166,SH600025,SH601009,SH600886,SH601919,SH600905,SH600690,SH601878,SH688271,SH600674,SH601059,SH600941,SH601319,SH601021,SH600000,SH601788,SH601628,SH601881,SH600029,SH600600,-0.016550276428461075,-0.030254364,0.05,-0.016650276428461074,0.962175398297918,0.9925522,1.0198367992818813,-0.05653983169127221
15,2026-06-25,SH601901,SH688009,SH601916,SH601607,SZ300059,SZ002415,SH600030,SH601377,SH601336,SH600919,SH601939,SH601985,SH601995,SH600029,SH601878,SH601211,SH601398,SH600018,SH601688,SH601229,SZ002142,SH601658,SH601186,SZ000651,SH601298,SH688271,SH601328,SH600015,SH601628,SH601818,SZ000333,SH601021,SZ000001,SZ001965,SH600958,SH600061,SH601988,SZ300832,SH601169,SH600377,SZ002422,SH601319,SH600016,SZ000166,SH601825,SH603195,SH601668,SH600900,SH601006,SH600795,SH600887,SH600019,SH601816,SH601077,SZ000538,SH600926,SH601456,SH600050,SH601838,SH601236,SZ002236,SH601998,SH600036,SH601881,SH600941,SH601788,SH601919,SH601166,SH601288,SH601766,SH601111,SH600886,SH600674,SH600690,SH601059,SH600000,SH601009,SH600025,SH600905,,0.01020065974444151,0.012057781,0.0375,0.010125659744441509,0.9719180589955552,1.0045202,1.0198367992818813,-0.04698667504454453
16,2026-06-26,SH601995,SH601211,SH600919,SH601398,SZ002142,SH601658,SH601939,SH601985,SZ000333,SH600887,SH601377,SZ000651,SH600030,SH601077,SH688009,SH601006,SH601169,SH603259,SH600018,SH601838,SZ300832,SH600377,SH601988,SH601825,SH601688,SH601607,SH601229,SH601916,SH601901,SH601298,SH601878,SH601818,SH600015,SH603195,SH600900,SH600941,SH601021,SZ001965,SH601816,SZ000166,SH601328,SH600690,SH601236,SZ000538,SZ002236,SZ300059,SH601186,SH600061,SH601668,SH600029,SH601059,SH600926,SH600795,SH601456,SH600905,SH601111,SH600674,SH600036,SH601919,SH600016,SZ002415,SH600025,SH600886,SH600050,SH600958,SH601788,SH601288,SH601628,SZ000001,SH601881,SH600000,SH601336,SH601319,SH601166,SH688271,SZ002422,SH601009,,,,-0.014675757847726345,0.010657787,0.0625,-0.014800757847726345,0.9575329351565297,1.0152261,1.0198367992818813,-0.06109199449286681
17,2026-06-30,SH601985,SH601939,SZ002415,SH601658,SH600900,SH601229,SH600886,SH601211,SH600030,SH601688,SH600061,SH601006,SH600958,SH601919,SH601668,SH600025,SZ000538,SH601377,SH601838,SH600018,SH601298,SH601988,SH603195,SH601995,SZ000166,SZ000333,SH601398,SH600795,SH601878,SH600905,SH600674,SH600690,SZ000651,SH601816,SH601825,SH601628,SH601169,SH600887,SH601607,SZ001965,SH600016,SH600377,SH600919,SH601901,SH600926,SH601336,SZ300059,SZ002422,SH601818,SH601166,SH600015,SH601236,SH600036,SH600050,SZ002142,SH601328,SH600000,SZ002236,SZ000063,SH688009,SH601881,SH601021,SH601319,SH601788,SH601059,SH600941,SH601456,SH601186,SH601288,SZ000001,SH601916,SH600029,SH601009,,,,,,,,0.001201495761051774,-0.029578567,0.0,0.001201495761051774,0.9586834069191877,0.9851972,1.0198367992818813,-0.05996390050423241
18,2026-07-01,SH601336,SZ300059,SH601628,SH601901,SH601658,SH601377,SH601985,SH601688,SH600900,SZ002422,SH601319,SH601881,SH600030,SH601878,SH600919,SH600886,SH601211,SH600674,SH601995,SH601939,SZ000166,SZ000538,SH600061,SH600958,SH601006,SH601229,SH601816,SH601825,SZ002415,SH601398,SH601788,SZ000333,SH601169,SH600025,SZ002142,SH601456,SZ000651,SH601236,SH601988,SH600018,SH601298,SH601607,SH600690,SH688009,SZ002236,SH601838,SH600795,SH603195,SZ001965,SH601919,SH601328,SZ000063,SH601916,SH600887,SH601059,SH600015,SH600377,SH601021,SH600926,SZ300832,SH601818,SH600036,SH601288,SH600016,SH600905,SZ000001,SH600000,SH601166,SH601009,SH601186,SH600941,SH601668,SH600050,SH600029,,,,,,,0.0061570387333631516,0.00620687,0.0375,0.006082038733363151,0.9645141565331028,0.9913122,1.0198367992818813,-0.054246564536339525
19,2026-07-02,SH601658,SH601985,SH600900,SH600919,SH601169,SH601995,SH601878,SH601229,SZ002142,SH600018,SZ000651,SH601607,SZ000333,SH601377,SH601939,SZ000538,SH601901,SH601688,SH600030,SH688009,SZ000166,SH601336,SH600958,SZ002236,SH600025,SH601668,SH600061,SH600036,SH601881,SH601916,SH601398,SH600050,SH600887,SH601818,SH601021,SH600886,SH600690,SH601456,SZ002415,SH603195,SZ300059,SH601816,SH601628,SH601328,SH600926,SH601988,SH600795,SH601236,SH600674,SH601186,SH600016,SH601166,SH601006,SH600015,SH600377,SH600905,SH601009,SZ001965,SH601788,SH601288,SH601919,SH601298,SH601838,SZ000001,SH601059,SH600941,SH601319,SZ000063,SH600029,SZ300832,SH600000,SZ002311,,,,,,,,,0.011292128823697567,-3.504753e-05,0.0,0.011292128823697567,0.9754055746409546,0.99127746,1.0198367992818813,-0.04356699490762936
20,2026-07-03,SH601985,SH601881,SH600919,SH600900,SH601169,SH601658,SH600018,SH688009,SH601878,SH601607,SH601229,SH601377,SZ002142,SZ000538,SH600887,SH601668,SH601236,SH600025,SH600690,SH600050,SH601995,SH601021,SZ000651,SH601818,SH600958,SZ000333,SH600036,SZ000166,SH600061,SH600926,SH601939,SH600886,SZ000301,SH600015,SH600016,SH601059,SH600030,SH601186,SH601838,SZ002236,SH601916,SH600905,SH601328,SH601816,SZ002415,SH601901,SZ300059,SH601456,SH601688,SH603195,SH600377,SH601398,SH601336,SH600674,SH600941,SH601988,SH601919,SH601166,SH601288,SH601298,SZ000001,SH601009,SH601788,SH600795,SH601006,SH600000,SH601628,SH601319,SZ001965,SH600029,SZ300832,SZ000063,SZ002311,,,,,,,,-0.010877641849219799,-0.010272622,0.0375,-0.0109526418492198,0.9647223067241797,0.9810944,1.0198367992818813,-0.05404246306517918
21,2026-07-10,SH601985,SH600900,SH601658,SZ000063,SH688009,SZ002142,SH600919,SZ000651,SH600018,SH601229,SH600025,SH601169,SH601995,SH601377,SH601838,SZ001965,SH600015,SH601878,SH600887,SZ002236,SH601456,SH601398,SH600926,SH600016,SH601236,SZ002415,SH601166,SZ000001,SZ000333,SH601186,SZ000538,SH600061,SH601328,SH601988,SH600886,SH601939,SZ000166,SH600690,SH601288,SH601009,SH600905,SH600377,SH601916,SH600036,SH601668,SH601818,SH601021,SH601059,SH601607,SH600030,SH601816,SH601919,SZ000301,SH601881,SH600000,SH601788,SH600674,SH601766,SH600795,SH601901,SH603195,SH600958,SH601336,SH600050,SH600941,SH601628,SH601319,SH601688,SZ300059,SZ000999,SZ002311,SH600029,,,,,,,,,0.00738810608163476,0.021535993,0.0375,0.0073131060816347595,0.971777423292573,1.0022233,1.0198367992818813,-0.04712457524885291
22,2026-07-14,SH688009,SZ000651,SH601658,SH600900,SH600919,SH600887,SH601169,SH600018,SH601985,SH600025,SH601229,SH601668,SZ000538,SH601838,SZ000333,SH600690,SH600886,SH600015,SH601186,SH601607,SH601398,SH600019,SZ000063,SZ000166,SH601818,SH600050,SH601166,SH601328,SH601816,SH600016,SH600000,SH601377,SH600926,SZ000301,SH601939,SH600061,SH601766,SH601009,SH601988,SH600941,SZ000999,SH600674,SH601628,SZ000001,SH600795,SH601788,SH600036,SZ002142,SH601916,SH601059,SH601878,SH600905,SH601919,SH601077,SH601456,SH601336,SZ001965,SH601288,SH600030,SH601995,SZ002736,SZ002415,SZ002236,SH601319,SZ300059,SH601881,SH601901,SH600958,SZ002311,SH601021,SH600029,SH600221,SH601688,,,,,,,,-0.00732641015201807,-0.018457115,0.0625,-0.00745141015201807,0.9645363111351487,0.98372513,1.0198367992818813,-0.05422484086245219
23,2026-07-17,SZ000651,SH600886,SH600887,SH600919,SH600900,SH601658,SH600941,SH601186,SH600025,SH600018,SH601818,SH688009,SH601328,SH601985,SZ000001,SH601229,SH601919,SH600050,SZ000166,SH601169,SZ000333,SH601838,SH601166,SH601607,SH600015,SH601668,SH601377,SH601816,SZ002311,SH600674,SH600000,SZ300628,SH600926,SH600036,SZ000063,SH601398,SH600019,SH600690,SZ002142,SH600061,SH601878,SH600028,SH600016,SH601766,SH601939,SH601788,SH601825,SZ000538,SH601988,SH601881,SH601059,SH601009,SH601319,SH600030,SH601456,SH601901,SZ001965,SH600795,SH601916,SZ000157,SH600029,SH601288,SH601021,SZ000999,SZ002236,SH601336,SH601077,SZ002736,SH601995,SZ300059,SZ002415,SH601688,,,,,,,,,-0.007327463012188673,0.030643702,0.0125,-0.007352463012188673,0.9574445935836146,1.0138701,1.0198367992818813,-0.061178617737857925
24,2026-07-20,SH600886,SH601668,SZ000651,SH600018,SH600900,SH600941,SH600887,SH600025,SH600674,SH601328,SH600919,SH601186,SH601658,SH601766,SH601919,SH601838,SH601229,SH600050,SH601398,SH601985,SH600015,SH601816,SZ000001,SH601988,SH601377,SH601939,SH601169,SZ300628,SZ000333,SH601166,SH601018,SH600019,SH600795,SZ000166,SH600926,SH601818,SH688271,SH601009,SH601788,SH600000,SH688009,SH600036,SH601878,SH600690,SH600061,SZ000538,SH600016,SZ002736,SH601059,SH601319,SZ001965,SH601825,SH600519,SH601881,SH601916,SH601607,SH601901,SH600028,SH601021,SZ002142,SZ002311,SH601288,SH600030,SH601995,SZ000999,SH600029,SH600918,SH601456,SH603288,SH600905,SZ002236,SH601077,SH601688,SZ002415,SZ000157,SZ000301,SH601336,SZ300059,,,0.004937618039548397,-0.004639983,0.0375,0.004862618039548397,0.9621002809362422,1.0091658,1.0198367992818813,-0.05661348794855637
25,2026-07-23,SH600886,SH601229,SH601377,SH600018,SZ000651,SH600050,SH600919,SH601658,SH601916,SZ000001,SH600015,SH600941,SH601169,SH601818,SH601186,SH600795,SH600061,SZ000166,SH601166,SZ001965,SZ002736,SH601021,SH601919,SH600887,SH601985,SH600674,SH601018,SH601816,SH601398,SH601988,SH601878,SH601668,SH601788,SH600016,SH601456,SH600025,SH688009,SH600000,SH601328,SH600029,SH601059,SH601881,SH601838,SH601607,SH601901,SH600019,SH601939,SH600036,SH601766,SH601009,SH601998,SH600926,SZ000538,SZ300628,SH600030,SZ000333,SH600028,SH600900,SH600905,SH688271,SH601319,SH600690,SH601825,SH601288,SH601995,SH600519,SZ002311,SZ000157,SH600918,SZ000999,SH601058,SZ002142,SH601336,SH601077,SZ000708,SZ002236,SH603288,SZ300059,SH600196,SZ002001,0.002535645617172122,0.011451483,0.0625,0.002410645617172122,0.9644195637617613,1.0207222,1.0198367992818813,-0.05433931738798021
26,2026-07-24,SH600886,SH601186,SH600674,SH600887,SZ000651,SH601328,SH601658,SH601377,SH601919,SZ000001,SZ001965,SH600018,SZ000166,SH600050,SH600941,SH601816,SH601229,SH601166,SH600025,SH601818,SH600919,SH600015,SH601398,SH601988,SH600900,SH601916,SH601668,SH601766,SH601169,SH600036,SH601939,SH601456,SH600016,SH600690,SH601009,SH600795,SH601018,SH600019,SH601878,SZ000333,SH601985,SH600000,SZ002142,SZ002736,SH600905,SH601607,SZ002311,SH601319,SH601059,SZ000708,SH601838,SH601288,SH601825,SH688009,SH601998,SH600926,SH601788,SZ000538,SH600030,SH600028,SH600029,SH601021,SH601881,SZ000999,SZ002236,SH600061,SH600660,SZ000157,SH600519,SH600918,SH601077,SH601100,SH601995,SH601901,SH603288,SH601688,SZ300059,SH601336,SH600039,SZ000063,0.005399735178798437,-0.028264165,0.05,0.005299735178798437,0.969530732050951,0.9918723,1.0198367992818813,-0.049327566201134716
27,2026-07-27,SH600900,SH600025,SH601229,SH601658,SH601668,SH601816,SH601328,SH600050,SH600018,SH601186,SH601916,SH601988,SH600919,SH600674,SZ000001,SH600886,SZ000166,SH600015,SH600741,SH601788,SH601169,SH601818,SH601838,SH601166,SH601939,SH601919,SH601766,SH601398,SH601009,SH601377,SH600941,SH600887,SH601985,SZ000651,SH600000,SH601077,SH601021,SZ000333,SH601018,SH600905,SH600016,SZ001965,SZ002736,SH688009,SH601878,SZ002311,SZ002415,SH601319,SH601456,SH601288,SH601901,SH600019,SZ002142,SZ000538,SH600795,SH601607,SH600036,SH601059,SH600690,SZ000708,SH600029,SH600926,SZ000157,SH601881,SH600519,SH601998,SH601100,SH601688,SZ300628,SH600061,SH600030,SH600028,SH600918,SH600660,SH601117,SZ000999,SZ002236,SH603288,SH600039,SH601825,0.008153707720339298,0.0067270994,0.0375,0.008078707720339298,0.9773632874610771,0.99854475,1.0198367992818813,-0.04164736147069013
28,2026-07-28,SH600941,SZ000001,SH600919,SH600000,SH601229,SH601818,SH601186,SH600015,SZ000166,SH601658,SH601988,SH601916,SZ001965,SH601377,SH601166,SH600018,SH601939,SH601398,SZ002736,SH601838,SZ002142,SZ000333,SH600926,SH601169,SH601009,SH600019,SH600050,SH601288,SH688009,SH601985,SZ002236,SH601328,SH600886,SH601077,SH601816,SH601766,SH600795,SH600674,SH601668,SH601901,SH600905,SZ000651,SH601021,SH601319,SH600036,SH600016,SH601788,SH601878,SH600900,SH601919,SH600690,SH600887,SH601456,SZ300628,SH600741,SH601018,SH601607,SH601117,SZ000157,SZ002311,SH600030,SH601998,SH601825,SH600025,SZ000538,SH601006,SH600061,SH600039,SH600029,SH601688,SH600918,SH600519,SH603288,SH601336,SH601100,SZ000999,SH600028,SH601059,SH600660,SH601058,0.016634631901979446,-0.010986328,0.0625,0.016509631901979446,0.9934991955715681,0.9875744,1.0198367992818813,-0.025825312176280438
29,2026-07-29,SZ000001,SH601229,SZ001965,SH600919,SH600941,SH600000,SH601988,SH601169,SH600050,SZ000651,SH601328,SH601818,SH600015,SH601658,SH600036,SH601018,SH601166,SH601186,SH601838,SH600690,SH601398,SH601668,SH601916,SH601319,SH600019,SH600018,SH601766,SH601288,SZ000166,SH601985,SH601009,SH688009,SH600016,SH601816,SH601377,SZ002142,SH601939,SH601825,SH601006,SZ000333,SH600926,SH600025,SH601077,SH600674,SH601919,SH600887,SH600795,SZ000538,SH601788,SZ002352,SH601607,SH601998,SH600660,SH600905,SZ002236,SH600741,SH600028,SH601456,SZ000999,SH600900,SH601021,SH600886,SH600519,SH601901,SZ002311,SH603288,SH600061,SH600029,SH601058,SH601059,SZ002736,SZ000157,SH600039,SH601878,SH601318,SH601881,SH601995,SZ000063,SH601688,SH601117,-0.005417455919086933,0.008457661,0.05,-0.005517455919086933,0.9880176075543536,0.995927,1.0198367992818813,-0.031200278073838066
30,2026-07-30,SZ000001,SZ001965,SH601229,SH601939,SH600000,SH600015,SH601018,SH601916,SH601818,SH600941,SH601766,SH600900,SH601985,SH601288,SH601169,SH601166,SH688009,SH601328,SH600036,SH601398,SH600919,SH601009,SH601838,SH600018,SH601658,SH601006,SH600019,SZ000651,SH601186,SH600050,SH600690,SH601816,SZ000333,SH600016,SH601988,SZ000166,SH600519,SH600905,SH600674,SZ000999,SH601319,SZ000538,SH603288,SH600795,SH600025,SH601825,SH601788,SH601800,SH601668,SZ002142,SH600926,SH601607,SZ000157,SH601998,SH600028,SH601021,SH601377,SH600887,SH600061,SH600039,SZ002236,SH601919,SH601456,SZ002352,SZ002736,SZ300999,SH601077,SH600886,SH601881,SH600660,SH601318,SH600741,SZ000708,SH601117,SH601059,SH601888,SZ002311,SH600029,SH601878,SH601901,0.00032986252335831523,-0.009812117,0.075,0.00017986252335831524,0.9881953148943707,0.98615485,1.0198367992818813,-0.031026027311223666
